@relation '264019L1 2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lz?y-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R4-precision6'

@attribute 'okres w jakim bêdzie pobiera³ dochód' numeric
@attribute 'okres w jakim pobiera³ dochód' numeric
@attribute p³eæ {kobieta,mê¿czyzna}
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute 'kwota kredytu' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'rodzaj Ÿród³a dochodu' numeric
@attribute 'status pozyczki' {dobry,z?y}

@data
48,150,mê¿czyzna,'\'(42.8-55.2]\'',500,0,1554.24,11,z?y
5,5,mê¿czyzna,'\'(-inf-30.4]\'',800,1,1800,12,z?y
48,26,kobieta,'\'(55.2-67.6]\'',200,0,713.78,13,z?y
48,242,kobieta,'\'(67.6-inf)\'',200,1,965,13,dobry
48,132,mê¿czyzna,'\'(55.2-67.6]\'',400,0,2600,11,dobry
48,267,kobieta,'\'(67.6-inf)\'',300,1,1239,13,dobry
48,88,kobieta,'\'(55.2-67.6]\'',300,0,1389,16,dobry
48,8,kobieta,'\'(55.2-67.6]\'',200,0,984,13,dobry
29,42,kobieta,'\'(42.8-55.2]\'',600,0,830.46,12,dobry
48,158,kobieta,'\'(55.2-67.6]\'',500,1,1340,16,dobry
48,136,kobieta,'\'(67.6-inf)\'',500,1,640,13,dobry
48,243,kobieta,'\'(67.6-inf)\'',200,1,616,13,dobry
41,26,kobieta,'\'(42.8-55.2]\'',300,0,1009.34,12,dobry
48,23,kobieta,'\'(55.2-67.6]\'',200,1,703,16,dobry
48,25,kobieta,'\'(42.8-55.2]\'',500,0,1200,11,z?y
48,74,mê¿czyzna,'\'(67.6-inf)\'',300,1,1426,13,dobry
20,6,mê¿czyzna,'\'(-inf-30.4]\'',417.53,1,1300,12,dobry
48,6,mê¿czyzna,'\'(30.4-42.8]\'',300,0,2700,11,dobry
48,36,mê¿czyzna,'\'(42.8-55.2]\'',300,1,1700,11,dobry
48,43,kobieta,'\'(55.2-67.6]\'',300,1,1500,13,dobry
22,187,kobieta,'\'(55.2-67.6]\'',900,1,684,17,dobry
