status pozyczki,rodzaj Ÿród³a dochodu,miesieczny dochod netto,ktore rolowanie,kwota kredytu,wiek,p³eæ,okres w jakim pobiera³ dochód,okres w jakim bêdzie pobiera³ dochód,opóŸnienie sp³aty
splacona,13,1065,1,230,62,kobieta,19,48,274
splacona,13,1261.6,1,400,64,mê¿czyzna,50,48,0
odmowa,11,1200,0,1000,41,mê¿czyzna,24,48,0
splacona_cz,13,1454.91,1,400,58,kobieta,39,48,6
splacona_cz,12,1634,0,300,22,kobieta,9,0,3
odmowa,13,1900,0,1000,76,kobieta,252,48,0
splacona_cz,11,2700,2,500,31,mê¿czyzna,12,48,3
splacona_cz,11,1680,2,799.84,57,kobieta,67,48,1
splacona_cz,12,1400,0,300,25,mê¿czyzna,9,23,0
odmowa,12,1037,0,200,31,kobieta,8,5,0
splacona_cz,13,1072,2,432.44,69,kobieta,150,48,1
splacona_cz,16,763.38,1,200,57,mê¿czyzna,208,48,1
splacona_cz,16,1045.6,2,500,54,kobieta,9,48,0
splacona_cz,11,1888.27,1,400,29,mê¿czyzna,74,48,4
splacona_cz,11,2927,0,500,38,kobieta,198,48,0
splacona_cz,11,1842.86,0,400,56,mê¿czyzna,5,48,0
splacona,13,3100,0,600,64,mê¿czyzna,135,48,11
splacona_cz,13,1688.82,0,300,46,mê¿czyzna,96,48,0
splacona_cz,13,1240,2,300,58,kobieta,67,48,0
splacona,12,900,2,400,28,mê¿czyzna,15,5,8
splacona_cz,11,1400,2,300,43,kobieta,22,48,0
splacona_cz,13,1026,2,200,74,kobieta,244,48,0
splacona_cz,11,1700,2,281.29,53,kobieta,202,48,1
splacona_cz,11,3000,2,300,60,mê¿czyzna,209,48,1
splacona_cz,11,763,1,300,46,kobieta,90,48,0
splacona,99,645.31,0,400,43,kobieta,8,4,1
splacona_cz,13,729.03,2,300,70,kobieta,254,48,0
splacona_cz,13,1090.14,1,400,61,kobieta,72,48,0
splacona,11,2458,0,600,61,mê¿czyzna,144,48,0
splacona_cz,13,714,2,200,62,kobieta,219,48,0
splacona_cz,16,1389,1,200,63,kobieta,88,48,0
splacona_cz,13,1291.18,2,381.29,70,kobieta,76,48,0
splacona_cz,12,1952.35,1,400,44,mê¿czyzna,1,10,0
odmowa,17,607.95,0,300,58,mê¿czyzna,210,30,0
splacona_cz,13,1370,1,900,59,kobieta,73,48,0
windykacja_sp,13,665.92,2,300,65,kobieta,122,48,300
odmowa,11,1226,0,300,26,mê¿czyzna,2,48,0
splacona_cz,13,1170,0,400,61,kobieta,75,48,0
splacona,11,1187.06,1,400,56,kobieta,130,48,2
splacona_cz,17,990,2,400,50,kobieta,69,16,0
splacona_cz,11,2080,2,500,53,mê¿czyzna,315,48,0
splacona_cz,12,1700,2,400,54,kobieta,52,1,0
splacona,11,1373.34,0,200,30,kobieta,55,48,0
splacona_cz,17,1200,2,200,25,kobieta,162,18,0
splacona_cz,11,2400,1,600,35,kobieta,110,48,0
splacona_cz,17,1485,1,500,58,mê¿czyzna,140,46,0
splacona_cz,12,1136.86,0,200,28,mê¿czyzna,9,15,1
splacona_cz,13,1362,2,500,61,kobieta,53,48,6
windykacja,11,3250,1,500,49,mê¿czyzna,2,48,4984
splacona_cz,16,1600,0,500,67,mê¿czyzna,9,48,0
odmowa,16,730,0,300,54,mê¿czyzna,113,48,0
splacona_cz,11,2470,2,426.61,49,kobieta,351,48,0
windykacja,12,1040,2,400,52,kobieta,15,4,4984
splacona_cz,13,1015,2,400,64,kobieta,106,48,4
odmowa,11,1557.5,0,700,35,kobieta,182,48,0
splacona_cz,13,1017,2,200,68,kobieta,158,48,0
splacona,17,547.89,1,350,56,kobieta,53,5,13
splacona_cz,11,1800,1,600,39,kobieta,49,48,11
splacona_cz,11,2050,0,800,33,kobieta,26,48,5
splacona_cz,13,910,2,200,66,kobieta,67,48,1
splacona,11,2284.23,0,200,43,mê¿czyzna,297,48,0
splacona,11,1577.42,2,400,50,kobieta,202,48,11
windykacja,12,855,2,600,31,kobieta,41,19,4984
splacona,12,1540,1,600,33,kobieta,36,3,5
splacona_cz,11,2050,2,575.74,32,mê¿czyzna,115,48,1
splacona_cz,11,2368.57,0,400,54,kobieta,407,48,0
odmowa,17,540.62,0,300,20,kobieta,28,20,0
odmowa,13,1875.17,0,1000,63,kobieta,96,48,0
splacona_cz,11,4900,0,500,50,kobieta,8,48,0
splacona_cz,13,1457,1,300,73,mê¿czyzna,76,48,3
splacona_cz,13,1216,2,200,66,kobieta,138,48,0
splacona_cz,13,1280,2,400,61,kobieta,14,48,0
odmowa,99,490.99,0,400,41,kobieta,3,5,0
splacona_cz,11,1800,2,500,49,kobieta,50,48,3
odmowa,13,1798.71,0,800,64,mê¿czyzna,132,48,0
